epoch,loss,recall@1,recall@5,recall@10,recall@20
1,1.9048395914088143,0.0,0.0078125,0.0078125,0.0078125
2,1.7408028103262456,0.00390625,0.02734375,0.04296875,0.08203125
3,1.6182138071735195,0.04296875,0.1171875,0.16796875,0.22265625
4,1.5222803776147362,0.09765625,0.2421875,0.296875,0.38671875
5,1.4446775911075018,0.1171875,0.27734375,0.328125,0.39453125
6,1.3849410818189978,0.1875,0.35546875,0.453125,0.5078125
7,1.3370088009998715,0.19140625,0.36328125,0.44140625,0.48828125
8,1.2983919204687682,0.22265625,0.4140625,0.4921875,0.57421875
9,1.2603343482891574,0.2578125,0.46875,0.58203125,0.64453125
10,1.2353520992663292,0.30859375,0.4765625,0.546875,0.59765625
11,1.2062483631114995,0.3125,0.49609375,0.55859375,0.62109375
12,1.186500753984261,0.2578125,0.4609375,0.52734375,0.59375
13,1.1666921363119205,0.24609375,0.44140625,0.5390625,0.58984375
14,1.1503555257610314,0.3125,0.48046875,0.546875,0.62109375
15,1.1367114872118955,0.34765625,0.5,0.58203125,0.65625
16,1.120738795794506,0.27734375,0.45703125,0.54296875,0.60546875
17,1.1097443353675454,0.328125,0.51171875,0.62109375,0.671875
18,1.0984294191678943,0.37890625,0.55859375,0.625,0.6875
19,1.0887017361481697,0.33203125,0.51953125,0.58203125,0.64453125
20,1.0803612763782162,0.31640625,0.53125,0.60546875,0.63671875
21,1.0745555683835233,0.34375,0.4921875,0.578125,0.64453125
22,1.065695504311425,0.33984375,0.54296875,0.6015625,0.66796875
23,1.0574916059222281,0.296875,0.515625,0.60546875,0.671875
24,1.0528223127288956,0.31640625,0.5234375,0.609375,0.6875
25,1.045746328285515,0.3671875,0.56640625,0.64453125,0.71484375
26,1.0386932430596187,0.3828125,0.57421875,0.62109375,0.6953125
27,1.036465708119034,0.33984375,0.54296875,0.61328125,0.67578125
28,1.0306233306112826,0.36328125,0.52734375,0.57421875,0.625
29,1.027397610098394,0.38671875,0.59765625,0.640625,0.66796875
30,1.0260044910730337,0.33984375,0.55078125,0.625,0.68359375
31,1.0198269879104005,0.390625,0.56640625,0.62890625,0.69140625
32,1.0148167770268048,0.35546875,0.5703125,0.65234375,0.69921875
33,1.0113491409486954,0.31640625,0.5703125,0.625,0.6796875
34,1.0087101820809006,0.40234375,0.6484375,0.703125,0.74609375
35,1.0100215711308045,0.33984375,0.54296875,0.6171875,0.66015625
36,1.007430147886709,0.33984375,0.55859375,0.6171875,0.66015625
37,1.003570031016362,0.37890625,0.5625,0.64453125,0.7109375
38,0.9990574061978751,0.3515625,0.5703125,0.66015625,0.71484375
39,0.9999405498296942,0.3671875,0.55859375,0.625,0.6875
40,0.9997759358636265,0.38671875,0.5859375,0.66796875,0.73828125
41,0.9963572227587069,0.4375,0.58984375,0.625,0.6796875
42,0.9937400974725422,0.4140625,0.625,0.67578125,0.71484375
43,0.9943862284809188,0.33203125,0.56640625,0.6484375,0.69921875
44,0.9937474003937197,0.390625,0.5546875,0.61328125,0.671875
